long,lat,linea,estacion,numero_de_,destino_bo,calle,altura,barrio,dom_orig
-58.4339721567684,-34.6278378789258,E,JOSE MARIA MORENO,1,a Retiro y Plaza de los Virreyes,José María Moreno,793,Caballito,José María Moreno 793
-58.4420728587085,-34.6314542683564,E,EMILIO MITRE,1,a Retiro y Plaza de los Virreyes,Emilio Mitre,855,Parque Chacabuco,Emilio Mitre 855
-58.4501239524895,-34.6364380641018,E,MEDALLA MILAGROSA,1,a Retiro y Plaza de los Virreyes,Eva Perón,1953,Parque Chacabuco,Eva Perón 1953
-58.4578925044446,-34.6398459655059,E,VARELA,1,a Retiro y Plaza de los Virreyes,Varela,940,Flores,Varela 940
-58.4614828150678,-34.643042644561,E,PLAZA DE LOS VIRREYES - EVA PERÓN,1,a Retiro,Lafuente,1150,Flores,Lafuente 1150
-58.40589541692079,-34.608946582795504,H,ONCE - 30 DE DICIEMBRE,1,a Las Heras y Hospitales,Pueyrredón,91,Balvanera,Pueyrredón 91
-58.404694449722,-34.6149425821075,H,VENEZUELA,1,Salida únicamente,Jujuy,422,Balvanera,Jujuy 422
-58.4021879223851,-34.6224734665026,H,HUMBERTO 1°,1,a Las Heras y Hospitales,Humberto 1°,2666,San Cristobal,Humberto 1° 2666
-58.400918348093604,-34.628996103496696,H,INCLAN - MEZQUITA AL AHMAD,1,Salida únicamente,Jujuy,1618,Parque Patricios,Jujuy 1618
-58.399061119249204,-34.6350212938628,H,CASEROS,1,Salida únicamente,Jujuy,2112,Parque Patricios,Jujuy 2112
-58.405934773800496,-34.6375138750739,H,PARQUE PATRICIOS,1,a Las Heras y Hospitales,Monteagudo,29,Parque Patricios,Monteagudo 29
-58.4124295130233,-34.6415503145927,H,HOSPITALES,1,a Las Heras,Almafuerte,270,Parque Patricios,Almafuerte 270
-58.4344646903156,-34.575264492765605,D,MINISTRO CARRANZA - MIGUEL ABUELO,1,a Catedral y Congreso de Tucumán,Santa Fe,5328,Palermo,Santa Fe 5328
-58.3748260653899,-34.6084840666294,A,PERU,1,a Pza. de Mayo,Avenida de Mayo,599,Monserrat,Avenida de Mayo 599
-58.3706379704299,-34.6029272357369,B,LEANDRO N. ALEM,1,a J. M. de Rosas,Corrientes,269,San Nicolas,Corrientes 269
-58.375240201710604,-34.5923638227662,E,RETIRO,1,a Plaza de los Virreyes - Eva Perón,Ramos mejia,1301,Retiro,Ramos Mejía 1301
-58.371726983261794,-34.5965449810427,E,CATALINAS,1,a Plaza de los Virreyes - Eva Perón y Retiro,Leandro Alem,951,Retiro,Leandro N Alem 951
-58.391020964631004,-34.5830355912055,H,FACULTAD DE DERECHO - JULIETA LANTERI,1,a Hospitales,"Figueroa Alcorta, Pres. Av.",0,Recoleta,"Figueroa Alcorta, Pres. Av. y Gonzalez, Julio Victor"
