,Size,Ambientes,Address,Neighborhood,City,Rent
141,95, 2 dorms. , La Pampa al 700 ,Belgrano, Capital Federal ,130000
142,60, 3 ambs. , Conesa al 4600 ,Saavedra, Capital Federal ,42000
143,180, 3 ambs. , Avda. Del Libertador al 4900 ,Palermo, Capital Federal ,1900
144,110, 3 ambs. , Arenales al 800 ,Retiro, Capital Federal ,517
145,75, 4 ambs. , Hipolito Yrigoyen al 2500 ,Monserrat, Capital Federal ,23000
146,102, 4 ambs. , Schiaffino al 2100 ,Recoleta, Capital Federal ,70000
147,60, 3 ambs. , San Isidro Labrador 4600 ,Núñez, Capital Federal ,35500
148,175, 3 ambs. , Clay al 3000 ,Palermo, Capital Federal ,2000
149,67, 3 ambs. , Av Cramer 2500 ,Belgrano, Capital Federal ,38000
150,66, 3 ambs. , Paraguay al 1400 ,Recoleta, Capital Federal ,26000
151,65, 3 ambs. , Ramon Falcon 2500 ,Flores, Capital Federal ,43700
152,93, 3 ambs. , Coronel Diaz al 1500 ,Palermo, Capital Federal ,990
153,105, 5 ambs. , Av. Alvear al 1700 ,Recoleta, Capital Federal ,63000
154,63, 3 ambs. , Humboldt 1950 ,Palermo, Capital Federal ,1800
155,170, 3 ambs. , Demaria 4450 ,Palermo, Capital Federal ,1200
156,110, 3 ambs. , Juana Manso 1500 ,Puerto Madero, Capital Federal ,1300
157,90, 3 ambs. , Av Cordoba al 1400 ,San Nicolás, Capital Federal ,26000
158,250, 4 ambs. , Loft de Película en Puerto Madero ,Puerto Madero, Capital Federal ,3000
159,56, 3 ambs. , Ugarteche 3322 ,Palermo, Capital Federal ,28000
160,123, 4 ambs. , Posadas al 1100 ,Recoleta, Capital Federal ,96000
161,131, 3 ambs. , Azucena Villaflor al 500 ,Puerto Madero, Capital Federal ,2100
162,100, 2 ambs. , Sucre 2020 ,Belgrano, Capital Federal ,50000
163,70, 3 ambs. , Rodriguez Peña al 2000 ,Recoleta, Capital Federal ,35000
164,64, 3 ambs. , Rio de Janeiro al 1000 ,Almagro, Capital Federal ,30000
165,119, 3 ambs. , Posadas al 1100 ,Recoleta, Capital Federal ,1000
166,110, 3 ambs. , Av. Alvear al 1700 ,Recoleta, Capital Federal ,59000
167,95, 3 ambs. , Cerrito al 1500 y Posadas ,Recoleta, Capital Federal ,35000
168,113, 4 ambs. , CONDE al 1900 ,Belgrano, Capital Federal ,100000
169,69, 3 ambs. , Jorge Luis Borges 2100 6ºB ,Palermo, Capital Federal ,59000
170,55, 3 ambs. , Av. Figueroa Alcorta al 3000 ,Palermo, Capital Federal ,35000
171,91, 3 ambs. , Quartier del Polo,Palermo, Capital Federal ,2100
172,154, 3 ambs. , y Aime Paine ,Puerto Madero, Capital Federal ,3600
173,210, 4 ambs. , Aime Paine ,Puerto Madero, Capital Federal ,3200
174,106, 3 ambs. , Ortega Y Gasset 1625 ,Palermo, Capital Federal ,2000
175,70, 3 ambs. , Av Santa fe al 5300 ,Palermo, Capital Federal ,40000
176,219, 3 ambs. , Juana Manso al 1100 ,Puerto Madero, Capital Federal ,4000
177,162, 3 ambs. , Alvear al 1500 ,Recoleta, Capital Federal ,120000
178,83, 3 ambs. , Juana Manso al 1300 ,Puerto Madero, Capital Federal ,1300
179,110, 3 ambs. , Esmeralda 1386 ,Retiro, Capital Federal ,2000
180,70, 3 ambs. , AV Cramer al 1700 ,Belgrano, Capital Federal ,1500
181,80, 3 ambs. , Cerviño al 4600 ,Palermo, Capital Federal ,2500
182,89, 3 ambs. , Quartier Sinclair,Palermo, Capital Federal ,1500
183,156, 4 ambs. , Esmeralda al 1300 ,Retiro, Capital Federal ,1900
