Size,Address,Neighborhood,Rent,Price/Mts2
100, Juana Manso al 400 ,Puerto Madero,119145.00000000001,1191.4
77, Valle al 1000 ,Caballito,38000.0,493.5
59, Gurruchaga 2200 ,Palermo,50000.0,847.5
81, AGUERO al 2300 ,Recoleta,35000.0,432.1
180, av. libertador al 4900 ,Palermo,250000.0,1388.9
50, BULNES al 1100 ,Recoleta,45000.0,900.0
84, Nicaragua 5900 ,Palermo,80000.0,952.4
75, AZCUENAGA al 1400 ,Recoleta,35000.0,466.7
95, Bulnes al 2700 ,Palermo,65000.0,684.2
60, Cerviño al 3900 ,Palermo,40000.0,666.7
65, AMENABAR 3200 ,Núñez,195000.0,3000.0
45, Avellaneda 2548 ,Flores,18000.0,400.0
152, San Blas 2100 ,Villa General Mitre,45000.0,296.1
82, JUNCAL Y LIBERTAD ,Recoleta,100815.0,1229.5
101, REPUBLICA ARABE SIRIA 3300 2,Palermo,60000.0,594.1
52, French 2850 ,Recoleta,53500.0,1028.8
165, AV. DEL Libertador al 300 ,Recoleta,274950.0,1666.4
65,Teodor García 1800,Belgrano,30000.0,461.5
64, DR. PEDRO IGNACIO RIVERA 4785 ,Villa Pueyrredón,36000.0,562.5
74, Moldes 2100 ,Belgrano,38000.0,513.5
191, Azucena Villaflor 669 ,Puerto Madero,366600.0,1919.4
49, Directorio al 900 ,Caballito,18000.0,367.3
60, Gallo al 1200 ,Palermo,32000.0,533.3
80, Juan Maria Gutierrez al 2600 ,Recoleta,35000.0,437.5
283, Florida al 1000 ,Retiro,320775.0,1133.5
78, Concepcion Arenal al 2400 ,Palermo,90000.0,1153.8
191, Azucena Villaflor 669 ,Puerto Madero,320775.0,1679.5
77, Av. Gral. Las Heras al 2400 ,Recoleta,38000.0,493.5
110, Av. Libertador al 900 ,Recoleta,49000.0,445.5
90, Cordoba al 1100 ,San Nicolás,33000.0,366.7
140, Arcos 1700 ,Belgrano,60000.0,428.6
47, Av. Scalabrini Ortiz al 1600 ,Palermo,27000.0,574.5
63, Chenaut al 1900 ,Palermo,45000.0,714.3
83, Avenida Córdoba al 2600 ,Recoleta,29500.0,355.4
85, Av. Jorge Newbery al 3400 ,Chacarita,91650.0,1078.2
120, Mendoza 955 ,Belgrano,82485.0,687.4
149, Juana Manso 1300 ,Puerto Madero,274950.0,1845.3
130, Bv Azucena Villaflor al 550 ,Puerto Madero,140000.0,1076.9
112, Migueletes 800 ,Palermo,183300.0,1636.6
51, AV CABILDO al 200 ,Belgrano,23000.0,451.0
56, Avenida Olazabal 4600 ,Villa Urquiza,35000.0,625.0
53, Arenales al 3400 ,Palermo,32000.0,603.8
55, lascano 2900 ,Villa del Parque,30000.0,545.5
70, Jeronimo Salguero al 1800 ,Palermo,65000.0,928.6
88, Quintana al 500 ,Recoleta,45000.0,511.4
200, Av. del Libertador al 4900 ,Belgrano,174135.0,870.7
115, Juana Manso al 700 ,Puerto Madero,164970.0,1434.5
95, Serrano 800 ,Villa Crespo,46800.0,492.6
60, Cabello y Scalabrini Ortíz ,Palermo,70000.0,1166.7
53, Riglos al 600 ,Caballito,27000.0,509.4
165, AV. DEL Libertador al 300 ,Retiro,274950.0,1666.4
130, Bv Azucena Villaflor al 550 ,Puerto Madero,155805.0,1198.5
60, Remedios Escalada de San Martin 2749 ,Santa Rita,24300.0,405.0
90, Posadas al 1500 ,Recoleta,50000.0,555.6
95, Serrano 800 ,Caballito,46800.0,492.6
95, La Pampa al 700 ,Belgrano,130000.0,1368.4
60, Conesa al 4600 ,Saavedra,42000.0,700.0
180, Avda. Del Libertador al 4900 ,Palermo,174135.0,967.4
110, Arenales al 800 ,Retiro,47383.05,430.8
75, Hipolito Yrigoyen al 2500 ,Monserrat,23000.0,306.7
102, Schiaffino al 2100 ,Recoleta,70000.0,686.3
60, San Isidro Labrador 4600 ,Núñez,35500.0,591.7
175, Clay al 3000 ,Palermo,183300.0,1047.4
67, Av Cramer 2500 ,Belgrano,38000.0,567.2
66, Paraguay al 1400 ,Recoleta,26000.0,393.9
65, Ramon Falcon 2500 ,Flores,43700.0,672.3
93, Coronel Diaz al 1500 ,Palermo,90733.5,975.6
105, Av. Alvear al 1700 ,Recoleta,63000.0,600.0
63, Humboldt 1950 ,Palermo,164970.0,2618.6
170, Demaria 4450 ,Palermo,109980.0,646.9
110, Juana Manso 1500 ,Puerto Madero,119145.00000000001,1083.1
90, Av Cordoba al 1400 ,San Nicolás,26000.0,288.9
250, Loft de Película en Puerto Madero ,Puerto Madero,274950.0,1099.8
56, Ugarteche 3322 ,Palermo,28000.0,500.0
123, Posadas al 1100 ,Recoleta,96000.0,780.5
131, Azucena Villaflor al 500 ,Puerto Madero,192465.0,1469.2
100, Sucre 2020 ,Belgrano,50000.0,500.0
70, Rodriguez Peña al 2000 ,Recoleta,35000.0,500.0
64, Rio de Janeiro al 1000 ,Almagro,30000.0,468.8
119, Posadas al 1100 ,Recoleta,91650.0,770.2
110, Av. Alvear al 1700 ,Recoleta,59000.0,536.4
95, Cerrito al 1500 y Posadas ,Recoleta,35000.0,368.4
113, CONDE al 1900 ,Belgrano,100000.0,885.0
69, Jorge Luis Borges 2100 6ºB ,Palermo,59000.0,855.1
55, Av. Figueroa Alcorta al 3000 ,Palermo,35000.0,636.4
91, Quartier del Polo,Palermo,192465.0,2115.0
154, y Aime Paine ,Puerto Madero,329940.0,2142.5
210, Aime Paine ,Puerto Madero,293280.0,1396.6
106, Ortega Y Gasset 1625 ,Palermo,183300.0,1729.2
70, Av Santa fe al 5300 ,Palermo,40000.0,571.4
219, Juana Manso al 1100 ,Puerto Madero,366600.0,1674.0
162, Alvear al 1500 ,Recoleta,120000.0,740.7
83, Juana Manso al 1300 ,Puerto Madero,119145.00000000001,1435.5
110, Esmeralda 1386 ,Retiro,183300.0,1666.4
70, AV Cramer al 1700 ,Belgrano,137475.0,1963.9
80, Cerviño al 4600 ,Palermo,229125.0,2864.1
89, Quartier Sinclair,Palermo,137475.0,1544.7
156, Esmeralda al 1300 ,Retiro,174135.0,1116.2
184, Libertad al 1600 ,Recoleta,247455.00000000003,1344.9
60, av de los Incas 4400 ,Coghlan,25000.0,416.7
85, CERVIÑO al 4700 ,Palermo,100000.0,1176.5
60, Av Dorrego al 2600 ,Palermo,35000.0,583.3
120, Av. Corrientes 5300 ,Villa Crespo,45000.0,375.0
150, Av. Alvear al 1400 ,Recoleta,100815.0,672.1
170, Ugarteche 2910 ,Recoleta,137475.0,808.7
100, Av. Callao al 1600 ,Recoleta,62500.0,625.0
79, Guatemala 5648 ,Palermo,85000.0,1075.9
100, FIGUEROA ALCORTA PRES. AV. 3000 9,Palermo,119145.00000000001,1191.4
123, Camila O'GORMAN al al 300 ,Puerto Madero,89000.0,723.6
85, Vuelta de Obligado al 4600 ,Núñez,34000.0,400.0
75, Juan B Justo al 1000 ,Palermo,109980.0,1466.4
128, Azucena Villaflor 550 ,Puerto Madero,247455.00000000003,1933.2
100, Republica Arabe Siria al 3300 ,Palermo,60000.0,600.0
125, Libertador al 1100 ,Recoleta,58000.0,464.0
70, AV Cramer al 1700 ,Belgrano,137475.0,1963.9
70, Paraguay al 800 ,Retiro,24000.0,342.9
170, Sinclair al 3200 ,Palermo,229125.0,1347.8
90, Virrey Arredondo al 2200 ,Belgrano,47000.0,522.2
65, Av Libertador al 6700 ,Núñez,45000.0,692.3
160, Cerrito al 1100 ,Recoleta,201630.0,1260.2
125, Aimé Painé al 1100 ,Puerto Madero,458250.0,3666.0
115, Torre Art María Este ,Puerto Madero,100000.0,869.6
120, Cerviño al 4600 ,Palermo,357435.0,2978.6
190, Copernico al 2300 ,Recoleta,229125.0,1205.9
90, Juana Manso 1351 ,Puerto Madero,146640.0,1629.3
140, Pueyrredon al 2400 ,Recoleta,45000.0,321.4
182, Juez Tedin al 3000 ,Palermo,183300.0,1007.1
110, CAVIA 3000 12,Palermo,75000.0,681.8
81, Boulonge Sur Mer 400 ,Once,30000.0,370.4
130, Paraná al 1100 ,Recoleta,65000.0,500.0
130, julieta lanteri al 1300 ,Puerto Madero,274950.0,2115.0
165, Madero Plaza Juana Manso al 1500 ,Puerto Madero,150000.0,909.1
105, Av. Alvear al 1700 ,Recoleta,63000.0,600.0
120, Mendoza 955 ,Belgrano,82485.0,687.4
60, 11 de Septiembre 1630 ,Belgrano,32000.0,533.3
75, Humboldt al 2000 ,Palermo,201630.0,2688.4
184, Macacha güemes al 300 ,Puerto Madero,284115.0,1544.1
90, Virrey del Pino al 2100 ,Belgrano,183300.0,2036.7
210, COPERNICO al 2300 ,Recoleta,183300.0,872.9
91, Güemes 3355 ,Palermo,201630.0,2215.7
80, Azucena Villaflor al 400 ,Puerto Madero,91650.0,1145.6
120, Parera al 100 ,Recoleta,80000.0,666.7
200, Sinclair 3200 ,Palermo,229125.0,1145.6
77, Aime Paine al 1600 ,Puerto Madero,105397.5,1368.8
130, Aime Paine al 1100 ,Puerto Madero,274950.0,2115.0
254, Florida al 1000 ,Retiro,229125.0,902.1
89, Quintana al 400 ,Recoleta,40000.0,449.4
128, Arroyo al 800 ,Retiro,114562.5,895.0
184, Av. Figueroa Alcorta al 3000 ,Palermo,320775.0,1743.3
191, Julieta Lanteri al 1200 ,Puerto Madero,320775.0,1679.5
118, Juana Manso al 100 ,Puerto Madero,192465.0,1631.1
70, Dorrego al 2200 ,Palermo,42000.0,600.0
59, Av. Luis Maria Campos al 400 ,Palermo,48000.0,813.6
68, Beruti al 3500 ,Palermo,55000.0,808.8
76, Uriarte 2300 ,Palermo,100815.0,1326.5
76, ALQUILER DEPTO. RETIRO 3 AMB + DEPENDENCIA C/BAÑO. ,Retiro,28000.0,368.4
63, Demaria al 4500 ,Palermo,100815.0,1600.2
169, Sinclair al 3200 ,Palermo,274950.0,1626.9
130, Oro al 2800 ,Palermo,339105.0,2608.5
197, Trinidad Guevara al 300 ,Puerto Madero,412425.0,2093.5
125, AV DEL LIBERTADOR al 2400 ,Palermo,229125.0,1833.0
160, Cerrito 1100 ,Recoleta,192465.0,1202.9
61, Cullen al 5000 ,Villa Urquiza,36000.0,590.2
125, Libertador al 1100 ,Recoleta,45000.0,360.0
108, Ocampo al 2600 ,Palermo,256620.00000000003,2376.1
123, Esmeralda al 1300 ,Recoleta,118228.50000000001,961.2
130, Ruggieri al 3000 ,Palermo,201630.0,1551.0
78, Juana Manso 1500 5,Puerto Madero,105000.0,1346.2
98, Ortega y Gasset al 1900 ,Palermo,192465.0,1963.9
176, Juana MANSO al al 1100 ,Puerto Madero,229125.0,1301.8
86, Fray Justo Sta. María de 2800 ,Palermo,137475.0,1598.5
130, Avenida Cerviño al 4500 Quartier Polo ,Palermo,256620.00000000003,1974.0
91, Av. Segurola al 4400 ,Villa Devoto,45000.0,494.5
110, Migueletes al 800 ,Palermo,201630.0,1833.0
75, Olazabal al 2200 ,Belgrano,90000.0,1200.0
60, av de los Incas 4400 ,Villa Ortúzar,25000.0,416.7
150, Av. Alvear al 1500 ,Recoleta,183300.0,1222.0
190, Marta Lynch al 400 ,Puerto Madero,366600.0,1929.5
125, Av. del Libertador al 2400 ,Palermo,164970.0,1319.8
91, Av. del Libertador al 5400 ,Palermo,183300.0,2014.3
86, Fray Justo Sta Maria 2800 ,Palermo,229125.0,2664.2
130, Av. del Libertador al 2400 ,Palermo,265785.0,2044.5
180, av. libertador al 4900 ,Palermo,174135.0,967.4
60, Ciudad De La Paz al 1800 ,Belgrano,90000.0,1500.0
80, Guemes 3300 ,Recoleta,293280.0,3666.0
175, Julieta Lantieri al 1200 ,Puerto Madero,293280.0,1675.9
122, LIBERTADOR al 1700 ,Palermo,219960.0,1803.0
130, Avenida Cerviño al 4500 Quartier Polo ,Palermo,229125.0,1762.5
80, Uruguay al 100 ,San Nicolás,35000.0,437.5
115, PACHECO DE MELO JOSE A. 1800 6,Recoleta,91650.0,797.0
92, Escalabrini Ortiz al 3500 ,Palermo,73320.0,797.0
70, Demaría al 4500 ,Palermo,85000.0,1214.3
107, Ramsay al 1800 ,Belgrano,137475.0,1284.8
120, Parera al 100 ,Recoleta,94000.0,783.3
110, Congreso 2700 ,Belgrano,55000.0,500.0
98, Ortega y Gasset al 1900 ,Palermo,192465.0,1963.9
65, RUGGIERI al 2900 ,Palermo,164970.0,2538.0
90, Callao al 1600 ,Recoleta,146640.0,1629.3
170, Córdoba al 5400 ,Palermo,229125.0,1347.8
79, Uriarte al 2300 ,Palermo,109980.0,1392.2
82, Dragones 2200 ,Belgrano,164970.0,2011.8
54, Aguilar 2390 ,Palermo,36000.0,666.7
93, Coronel Diaz al 1500 ,Recoleta,82485.0,886.9
95, Sinclair al 3000 ,Palermo,110000.0,1157.9
123, Camila O'GORMAN al al 400 ,Puerto Madero,210795.0,1713.8
100, Migueletes 800 ,Palermo,274950.0,2749.5
90, Viamonte al 2700 ,Once,37000.0,411.1
100, CALLAO AV. 1600 7,Recoleta,146640.0,1466.4
90, Callao al 1600 ,Recoleta,146640.0,1629.3
115, Cerviño al 3000 ,Palermo,274950.0,2390.9
56, Bulnes al 1900 ,Palermo,40000.0,714.3
92, Callao al 1300 ,Recoleta,40000.0,434.8
75, Guemes al 3300 ,Palermo,178717.5,2382.9
110, Juana Manso 590 Piso 38 Oficina Sup. 120 Mts2 ,Puerto Madero,201630.0,1833.0
161, Juana Manso al 1300 ,Puerto Madero,256620.00000000003,1593.9
95, Parera al 100 ,Recoleta,65000.0,684.2
100, Cerviño y Sinclair,Palermo,160387.5,1603.9
45, Av Cordoba al 1300 ,San Nicolás,18000.0,400.0
95, Sinclair al 3000 ,Palermo,100815.0,1061.2
160, LIBERTADOR al 300 ,Recoleta,274950.0,1718.4
125, Aime Paime al 1100 ,Puerto Madero,504075.00000000006,4032.6
130, Alvear al 1700 ,Recoleta,174135.0,1339.5
110, Torres DEL Yatch 3 AMB Amobaldo Juana Manso 590 Piso 38 ,Puerto Madero,256620.00000000003,2332.9
177, Julieta Lanteri 1200 ,Puerto Madero,293280.0,1656.9
108, Felipe Vallese 2751 ,Floresta,48000.0,444.4
70, Coronel Diaz al 2700 ,Palermo,91650.0,1309.3
82, Av. Córdoba 5400 ,Palermo,100000.0,1219.5
177, Torre El Faro ,Puerto Madero,293280.0,1656.9
95, Sinclair al 3000 ,Palermo,100815.0,1061.2
107, Manso Juana al 500 ,Puerto Madero,137475.0,1284.8
169, Marcelo T de Alvear e/ Uriburu y Junín ,Recoleta,164970.0,976.2
58, Cordoba 5291 ,Palermo,150000.0,2586.2
160, Alvear al 1800 y Callao ,Recoleta,229125.0,1432.0
70, Juana Manso al 1600 ,Puerto Madero,78000.0,1114.3
100, Montevideo 1500 3,Recoleta,55000.0,550.0
200, Copernico al 2300 Duplex Amoblado ,Recoleta,183300.0,916.5
90, Av. Callao al 1400 ,Recoleta,90000.0,1000.0
118, Cerviño al 4500 ,Palermo,229125.0,1941.7
130, Cerviño al 4600 y Oro ,Palermo,229125.0,1762.5
46, Piedras al 1300 ,San Telmo,27000.0,587.0
100, Laprida al 1800 Entre French y Peña ,Recoleta,49000.0,490.0
118, Martha SALOTTI al al 400 ,Puerto Madero,137475.0,1165.0
182, Azucena Villaflor al 500 ,Puerto Madero,320775.0,1762.5
95, Sinclair al 3000 ,Palermo,110000.0,1157.9
85, Niceto Vega 5850 ,Palermo,146640.0,1725.2
120, Del Libertador al 900 y Callao ,Recoleta,57500.0,479.2
115, Posadas al 1100 y Cerrito ,Recoleta,91650.0,797.0
95, Segui 4700 ,Palermo,155805.0,1640.1
120, Migueletes al 800 ,Palermo,229125.0,1909.4
91, Av. Del Libertador 5500 ,Belgrano,76000.0,835.2
100, Ramsay 1800 ,Belgrano,146640.0,1466.4
140, Aimé Painé al 1100 ,Puerto Madero,412425.0,2945.9
152, Juana Manso al 1000,Puerto Madero,245622.00000000003,1615.9
200, sinclair al 3200 ,Palermo,247455.00000000003,1237.3
180, LANTERI JULIETA al 1200 ,Puerto Madero,293280.0,1629.3
128, Azucena Villaflor al 400 ,Puerto Madero,183300.0,1432.0
110, Juana Manso al 400 ,Puerto Madero,119145.00000000001,1083.1
123, Esmeralda al 1300 ,Retiro,100815.0,819.6
78, BULNES al 2700 ,Palermo,155805.0,1997.5
80, Cabrera 3500 1° ,Palermo,35000.0,437.5
62, Quirno al 300 ,Flores,35000.0,564.5
74, Edificio Brisas Torre Juana Manso ,Puerto Madero,128310.00000000001,1733.9
90, Juana Manso al 500 ,Puerto Madero,229125.0,2545.8
172, FIGUEROA ALCORTA al 3700 ,Palermo,201630.0,1172.3
68, Ombu al 2900 ,Palermo,137475.0,2021.7
110, Virrey del Pino al 2100 ,Belgrano,91650.0,833.2
124, Juana Manso 1500 ,Puerto Madero,183300.0,1478.2
106, Av. Juana Manso ,Puerto Madero,109980.0,1037.5
117, Martha SALOTTI al al 400 ,Puerto Madero,183300.0,1566.7
143, Eyle  Petrona al 300  ,Puerto Madero,504075.00000000006,3525.0
78, Azucena Villaflor 300 ,Puerto Madero,128310.00000000001,1645.0
95, Ayacucho al 1500 ,Recoleta,183300.0,1929.5
80, MIGUELETES al 500 ,Palermo,137475.0,1718.4
72, Sinclair al 3200 ,Palermo,119145.00000000001,1654.8
80, Niceto Vega 5800 ,Palermo,114562.5,1432.0
110, Riobamba al 1000 ,Recoleta,80000.0,727.3
110, Juana Manso 500 ,Puerto Madero,123727.50000000001,1124.8
67, Migueletes al 900 ,Palermo,109980.0,1641.5
70, SANTA MARIA DE ORO FRAY JUSTO al 2800 ,Palermo,238290.00000000003,3404.1
130, Villaflor al 500 ,Puerto Madero,201630.0,1551.0
70, RUGGIERI al 2900 ,Palermo,150000.0,2142.9
72, Torres LAS Plazas,Palermo,80000.0,1111.1
145, Martha Lynch al 400 ,Puerto Madero,265785.0,1833.0
70, CORRIENTES 2300 ,San Cristóbal,24200.0,345.7
100, Ruggieri al 2900 ,Palermo,274950.0,2749.5
120, ORO al 2800 ,Palermo,274950.0,2291.2
52, Ciudad de la Paz al 3000 ,Núñez,28500.0,548.1
95, Serrano 800 ,Palermo,46800.0,492.6
192, El Faro. Azucena Villaflor 600. ,Puerto Madero,224000.0,1166.7
135, GODOY CRUZ al 3000 ,Palermo,274950.0,2036.7
107, Ruggeri al 3000 ,Palermo,229125.0,2141.4
95, Avenida Alvear al 1800 ,Recoleta,91650.0,964.7
120, Parera e/ Quintana y Alvear ,Recoleta,94500.0,787.5
144, Marta Lynch al 400 ,Puerto Madero,229125.0,1591.1
120, Julieta Lanteri al 1300 ,Puerto Madero,229125.0,1909.4
135, ALVEAR al 1500 ,Recoleta,146640.0,1086.2
60, Juan de Dios Filiberto al 1000 ,La Boca,35000.0,583.3
90, Juan b Justo al 1000 ,Palermo,109980.0,1222.0
240, MANSO JUANA al 100 ,Puerto Madero,439920.0,1833.0
78, Juramento 2800 10° ,Belgrano,38000.0,487.2
100, Olga Cossettini 1600 ,Puerto Madero,146640.0,1466.4
68, Ruggeri al 2900 ,Palermo,128310.00000000001,1886.9
78, Carlos Pellegrini al 1300 ,Recoleta,183300.0,2350.0
95, Godoy Cruz al 2900 ,Palermo,183300.0,1929.5
95, AV SANTA FE al 1900 ,Recoleta,65000.0,684.2
85, Azcuenaga 1500 ,Recoleta,119145.00000000001,1401.7
130, Ayacucho al 1900 ,Recoleta,247455.00000000003,1903.5
133, MANSO JUANA al 100 ,Puerto Madero,320775.0,2411.8
95, Serrano 800 ,Colegiales,46800.0,492.6
90, Juan b Justo al 1000 ,Palermo,146640.0,1629.3
50, Valentín Gómez 3600 ,Almagro,21000.0,420.0
124, Juana Manso 1150 ,Puerto Madero,100815.0,813.0
175, Guemes Macacha al 300 ,Puerto Madero,302445.0,1728.3
150, Petrona Eyle al 300 ,Puerto Madero,320775.0,2138.5
66, Azucena Maizani 395 ,Puerto Madero,95000.0,1439.4
191, Julieta Lanteri al 1200 ,Puerto Madero,320775.0,1679.5
110, Congreso 2700 ,Belgrano,60000.0,545.5
84, Azcuénaga y French ,Palermo,137475.0,1636.6
132, Av del Libertador al 2400 ,Palermo,265785.0,2013.5
132, Av del Libertador al 2400 ,Palermo,201630.0,1527.5
65, CABELLO al 3400 ,Palermo,63000.0,969.2
55, Zapiola 2300 ,Belgrano,30000.0,545.5
65, Juncal 4500 ,Palermo,60000.0,923.1
75, corrientes 4900 ,Villa Crespo,29000.0,386.7
90, Juana Manso 1351 ,Puerto Madero,146640.0,1629.3
150, Alvear 1500 e/ y Montevideo ,Recoleta,183300.0,1222.0
52, Paraguay 3604 ,Palermo,87067.5,1674.4
145, Juana Manso al 100 ,Puerto Madero,229125.0,1580.2
113, CLAY al 3000 ,Palermo,229125.0,2027.7
120, Rosario Vera Peñaloza al 500 ,Puerto Madero,250000.0,2083.3
64, GUEMES al 4200 ,Palermo,25000.0,390.6
95, Serrano 800 ,Almagro,46800.0,492.6
152, Martha Salotti al 500 ,Puerto Madero,274950.0,1808.9
100, Rodríguez Peña 1800 ,Recoleta,109980.0,1099.8
122, ARROYO al 1100 ,Recoleta,169552.5,1389.8
140, Ayacucho 1800 7,Recoleta,164970.0,1178.4
95, Serrano 800 ,Caballito,46800.0,492.6
60, Arroyo al 800 ,Recoleta,229125.0,3818.8
70, Libertador al 5700 ,Belgrano,137475.0,1963.9
140, Pueyrredon al 2400 ,Recoleta,91650.0,654.6
145, Juana Manso al 100 ,Puerto Madero,192465.0,1327.3
80, Mario bravo 1200 ,Palermo,35000.0,437.5
63, Dorrego 2700 ,Palermo,40000.0,634.9
60, H.Pueyrredon 700 ,Palermo,30346.0,505.8
98, Laprida al 1800 ,Recoleta,49000.0,500.0
95, Serrano 800 ,Chacarita,46800.0,492.6
46, Aguilar 2800 6° ,Colegiales,22000.0,478.3
140, Pueyrredon al 2400 ,Recoleta,45000.0,321.4
88, Scalabrini Ortiz al 2900 ,Palermo,48000.0,545.5
70, Santa Fe al 4900 ,Palermo,201630.0,2880.4
55, ÁNGEL J. CARRANZA 2300 ,Palermo,24000.0,436.4
128, Azucena Villaflor al 400 ,Puerto Madero,150000.0,1171.9
81, Guemes 3355 ,Palermo,201630.0,2489.3
78, Bolivar al 1000 ,San Telmo,28000.0,359.0
89, Quintana al 400 ,Recoleta,40000.0,449.4
65, Anchorena 1600 ,Recoleta,40000.0,615.4
95, Serrano 800 ,Almagro,52000.0,547.4
53, Nazarre al 2600 ,Villa del Parque,27000.0,509.4
60, OLAYA al 1100 ,Caballito,20000.0,333.3
