Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Villa Crespo,-34.59839470000001,-58.4424743,Serrano  Corner - Fútbol,-34.59818033798517,-58.44519310745596,Soccer Field
Villa Crespo,-34.59839470000001,-58.4424743,Café Martínez,-34.59969948886476,-58.438630240583926,Café
Villa Crespo,-34.59839470000001,-58.4424743,Pizza Crespo,-34.59827275848739,-58.44072358274896,Pizza Place
Villa Crespo,-34.59839470000001,-58.4424743,Massaro,-34.59884406855765,-58.4395595573598,Pizza Place
Villa Crespo,-34.59839470000001,-58.4424743,Josefina,-34.60066965367416,-58.441751468096534,Argentinian Restaurant
Villa Crespo,-34.59839470000001,-58.4424743,Bonafide,-34.597871012742424,-58.440906015311825,Café
Villa Crespo,-34.59839470000001,-58.4424743,Simão,-34.59721988902545,-58.44158003136924,Breakfast Spot
Villa Crespo,-34.59839470000001,-58.4424743,Totem Pizza,-34.5989053006621,-58.43942686996836,Pizza Place
Villa Crespo,-34.59839470000001,-58.4424743,La Farola de Villa Crespo,-34.595434147623735,-58.443403244018555,Argentinian Restaurant
Villa Crespo,-34.59839470000001,-58.4424743,Shan Dong,-34.59946620610166,-58.43734547495841,Chinese Restaurant
Villa Crespo,-34.59839470000001,-58.4424743,Talleres Coreograficos Carolina Bonanni,-34.600260181437484,-58.439404573283085,Dance Studio
Villa Crespo,-34.59839470000001,-58.4424743,Farmacity,-34.59910772458602,-58.439610430053555,Pharmacy
Villa Crespo,-34.59839470000001,-58.4424743,"Clé, la cocina express",-34.599899,-58.438138,Buffet
Villa Crespo,-34.59839470000001,-58.4424743,Av. Corrientes y Av. Juan B. Justo,-34.594773969399455,-58.44430178403855,Intersection
Villa Crespo,-34.59839470000001,-58.4424743,Metrobus - Estación Murillo,-34.59704151614416,-58.447651863098145,Bus Stop
Villa del Parque,-34.6047975,-58.4938209,A Mi Manera,-34.604966064412494,-58.49304961705188,Italian Restaurant
Villa del Parque,-34.6047975,-58.4938209,Cadore,-34.602454524621685,-58.49446934746186,Ice Cream Shop
Villa del Parque,-34.6047975,-58.4938209,Walmart,-34.60418317353425,-58.493976332276155,Big Box Store
Villa del Parque,-34.6047975,-58.4938209,Chungo,-34.60389406651682,-58.493427830136,Ice Cream Shop
Villa del Parque,-34.6047975,-58.4938209,Eter Club,-34.604034596664874,-58.49309221777546,Cocktail Bar
Villa del Parque,-34.6047975,-58.4938209,Farmacity,-34.60282667534418,-58.49407819699241,Pharmacy
Villa del Parque,-34.6047975,-58.4938209,Racing Club - Sede Villa del Parque,-34.602428623367196,-58.49148988723754,Athletics & Sports
Villa del Parque,-34.6047975,-58.4938209,Lo de Carlitos,-34.60273624881984,-58.491532241875994,Argentinian Restaurant
Villa del Parque,-34.6047975,-58.4938209,Plaza Aristóbulo del Valle,-34.604900020839025,-58.492785419705164,Plaza
Villa del Parque,-34.6047975,-58.4938209,Adela's Coffee Bar,-34.604128599204095,-58.49314183114979,Mediterranean Restaurant
Villa del Parque,-34.6047975,-58.4938209,Daneri,-34.60766168850167,-58.49207049003529,Pharmacy
Villa del Parque,-34.6047975,-58.4938209,Las Buenas Artes,-34.603306,-58.49278,Bakery
Villa del Parque,-34.6047975,-58.4938209,Paseo Comercial Cuenca,-34.60281044021218,-58.49560601687851,Shopping Mall
Villa del Parque,-34.6047975,-58.4938209,Zidane,-34.60092516887771,-58.496145154072465,Gastropub
Villa del Parque,-34.6047975,-58.4938209,Estación Villa del Parque [Línea San Martín],-34.60136889217704,-58.494611978530884,Train Station
