Neighborhood,comuna,perimetro,area,Latitude,Longitude,poblacion,Total_delitos,Delitos/Pob,Size,Rent,Price/Mts2,subway stations
Agronomía,15,6556.17,-0.7707861995412629,-34.5915159,-58.4853851,-0.9555018044242339,-0.9485110921643366,-0.46033399504064176,-0.5034597600564393,-0.23655899835790234,-0.05389867230800544,-0.5483968054994288
Villa Ortúzar,15,5685.0,-0.8683342114229067,-34.581302,-58.4682453,-0.7940346291477257,-0.8572428201110758,-0.46033399504064176,-0.40243104566384286,-0.1575309439840938,0.05757521725728315,-0.5483968054994288
Barracas,4,12789.79,1.348809559303116,-34.6452854,-58.3875619,0.6034489139279426,0.6078279763040955,-0.10394638597691942,-0.11955064536457292,-0.46153875838634634,-0.6991911879605907,-0.5483968054994288
Parque Avellaneda,9,10165.61,0.17811065263566428,-34.64948029999999,-58.4769052,-0.14410035627156612,-0.3029433668033137,-0.46033399504064176,-1.0086033320194219,-0.5768520672975456,-0.6473793801344707,-0.5483968054994288
Parque Chacabuco,7,8406.91,-0.14924262248958428,-34.638368,-58.4387012,-0.08111494996483004,-0.09030262824990493,-0.10394638597691942,-0.13470495252346226,-0.3960771400888056,-0.5794745107866013,0.21459005432586345
Nueva Pompeya,4,11033.51,0.25764256756246195,-34.652629600000004,-58.4147098,-0.36149494016250905,0.10179080298261263,0.6088288321505251,-0.12460208108420245,-0.45385120445893307,-0.7117516262214681,-0.5483968054994288
Palermo,14,22126.53,4.217600577695023,-34.580336200000005,-58.4245236,3.432467743331611,3.402739616301596,-0.10394638597691942,0.9159936771595413,2.0088944350890103,2.661118560519813,1.740563773976448
Villa Riachuelo,8,10596.83,-0.003673646065850405,-34.6912065,-58.47145,-0.9519521681579304,-0.9169733646485502,-0.10394638597691942,-0.7560315460379307,-0.6187841796288908,-0.8652244812215661,-0.5483968054994288
Villa Soldati,8,12441.7,1.61586711497916,-34.6662898,-58.4459552,-0.2772117162579513,-0.3454715145139954,-0.10394638597691942,-0.6550028316453341,-0.5912291908788861,-0.8357859540476343,-0.5483968054994288
Villa Pueyrredón,12,7522.36,-0.3414825874050192,-34.5794479,-58.5040849,-0.4242533348475629,-0.6426907041324679,-0.46033399504064176,-0.5438712458134778,-0.2274177978696691,-0.0032644055688425926,-0.5483968054994288
Villa Devoto,11,11562.01,0.7857782165557184,-34.6009939,-58.5155164,0.13021223240115207,-0.29529785710251694,-0.46033399504064176,0.17848406209358708,-0.16443856062214401,-0.21561431491680413,-0.5483968054994288
Liniers,9,9256.93,0.047877100414647406,-34.642403,-58.5201245,-0.3318389674027516,-0.3134559426419091,-0.10394638597691942,-0.17511643828050072,-0.3527668589988369,-0.4625054294821788,-0.5483968054994288
Versalles,10,5650.47,-1.0308014169877868,-34.628928,-58.52329870000001,-0.9573591722379975,-0.9781374422549238,-0.46033399504064176,-0.4377910957012518,-0.40505899855017974,-0.497831662090897,-0.5483968054994288
Puerto Madero,1,17725.72,0.2901601187658595,-34.6103764,-58.3622067,-1.103802305643174,-1.0302224770916015,-0.10394638597691942,3.466968715572603,5.483719128814611,4.6115191142167085,-0.5483968054994288
Monserrat,1,6739.22,-0.7429966759626534,-34.6115595,-58.3841265,-0.41888760560780164,0.3765513078549947,1.3216040502779698,-0.10439633820568286,-0.37495733284458477,-0.5186348879604755,2.8850440637143864
San Nicolás,1,6548.08,-0.7101426739542492,-34.6044631,-58.3844969,-0.6384903934551078,1.8191634195240756,5.954642968106359,0.12796970489728882,-0.29786374658632897,-0.433066902308247,-0.5483968054994288
Belgrano,13,20609.78,1.3654523116305604,-34.5613076,-58.4565454,1.363215536857985,0.7473585283436356,-0.46033399504064176,0.5472388696265642,0.8595827591474812,1.1138295722579565,0.5960834842385095
Recoleta,2,21452.84,0.7540762319614228,-34.587358,-58.39157,2.016699446000448,1.5052196774351103,-0.10394638597691942,1.3706228919262256,1.2371646578463118,1.2284435713884643,1.359070344063802
Retiro,1,18837.99,0.0981445016404014,-34.5916426,-58.373307,0.10734597087170793,0.71390942340265,0.6088288321505251,2.527401671721456,2.4168547514348226,2.127692448128168,1.359070344063802
Núñez,13,10785.26,0.06597167420534468,-34.5453484,-58.46214910000001,-0.17051625406731388,-0.30342121115961346,-0.46033399504064176,0.08755821914025036,0.4963360519176594,1.1122595174753465,-0.5483968054994288
La Boca,4,20060.0,0.28844066548477837,-34.6335103,-58.3590424,-0.3115936582327293,-0.36124037827188865,-0.10394638597691942,-0.7560315460379307,-0.3252593933094745,-0.17008272622112286,-0.5483968054994288
